,feature_set,case,num_zero
97,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, 1, 0)",0.0
98,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, 1, 1)",0.0
99,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, -1, -1)",0.0
100,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, -1, 0)",0.0
101,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, -1, 1)",0.0
102,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, 0, -1)",0.0
103,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, 0, 0)",0.0
104,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, 0, 1)",0.0
105,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, 1, -1)",0.0
106,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, 1, 0)",0.0
107,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 0, 1, 1)",0.0
108,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, -1, -1)",0.0
109,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, -1, 0)",0.0
110,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, -1, 1)",0.0
111,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, 0, -1)",0.0
112,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, 0, 0)",0.0
113,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, 0, 1)",0.0
114,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, 1, -1)",0.0
115,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, 1, 0)",0.0
116,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, 1, 1, 1)",0.0
117,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, -1, -1)",0.0
118,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, -1, 0)",0.0
119,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, -1, 1)",0.0
120,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, 0, -1)",0.0
121,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, 0, 0)",0.0
122,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, 0, 1)",0.0
123,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, 1, -1)",0.0
124,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, 1, 0)",0.0
125,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, -1, 1, 1)",0.0
126,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, -1, -1)",0.0
127,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, -1, 0)",0.0
128,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, -1, 1)",0.0
129,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, 0, -1)",0.0
130,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, 0, 0)",0.0
131,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, 0, 1)",0.0
132,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, 1, -1)",0.0
133,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, 1, 0)",0.0
134,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 0, 1, 1)",0.0
135,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, -1, -1)",0.0
136,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, -1, 0)",0.0
137,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, -1, 1)",0.0
138,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, 0, -1)",0.0
139,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, 0, 0)",0.0
140,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, 0, 1)",0.0
141,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, 1, -1)",0.0
142,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, 1, 0)",0.0
143,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 1, 1, 1, 1)",0.0
144,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, -1, -1)",0.0
145,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, -1, 0)",0.0
146,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, -1, 1)",0.0
147,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, 0, -1)",0.0
148,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, 0, 0)",0.0
149,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, 0, 1)",10.0
150,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, 1, -1)",0.0
151,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, 1, 0)",-10.0
152,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, -1, 1, 1)",0.0
153,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, -1, -1)",0.0
154,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, -1, 0)",0.0
155,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, -1, 1)",0.0
156,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(0, -1, 0, 0, -1)",0.0
