feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv0981--Rv1828--Rv1332,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0195,0.700837653388474,0.27741658501231425,0.0,0.0,0.0,0.0,0.6560488332167311,0.0,0.5916714978566217,0.37541295586208456,0.0,1.0,0.0,0.6452460092486898,0.0,0.650418240421589,0.3540513707149466,0.0,-0.059175126373887686,0.0,0.5408940812509376,0.7357115809763983,0.0,0.0,0.0,0.7050473456638098,-0.129400727535066,0.0,0.4896620375097736,0.6079435741410381,0.108949437362036,0.0,0.4716899394799285,0.5391119094871178,0.44095093653697864,0.38662408391926983,0.0,0.7075508939140182,-0.03666120578523188,0.3794199544858396,0.5472263150296236,0.48129834409169286,0.5076384133283894,0.0,0.5277681423482162,0.5754898387056954,0.6062953994756948,0.6642386563689774,0.7100457843303933,0.0,0.5391119094871177,0.0,0.0,0.0,0.0,0.3618935648286408,0.6504182404215891,-0.08253085287277023,0.0,0.40911618583837217,0.5310145896574667,0.0,0.4745255307397092,-0.10492909006503814,0.0,0.0,0.0,0.5983801526551719,-0.02506255752447683,0.27741658501231425,0.6321427319150529,0.49966893467466134,0.5509787908401654,0.0,0.5757746246657297,0.0,0.0,0.6481606716994711,0.7103538752378924,0.0,0.6572674758310921,0.7402675301234769,0.26225848763162796,0.1315669642364094,0.0,-0.10492909006503814,0.0,0.0,0.0,0.0,0.5159907636373896,0.0,0.0,0.0,0.6007569637735845,0.0,-0.08253085287277036,0.0,0.0,-0.10492909006503814
Rv0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0238,0.4522126989801297,-0.07193536082504301,0.0,0.0,0.0,0.0,0.6198978256409696,0.0,0.5698157697515196,0.01842677140831385,0.0,0.6452460092486899,0.0,1.0,0.0,0.54967257049384,0.136001847952451,0.0,-0.008659951660514132,0.0,0.3490097473534044,0.4940805433718766,0.0,0.0,0.0,0.47416217324557225,-0.08349530303587842,0.0,0.22359121597340664,0.6198978256409696,-0.020117774535142262,0.0,0.37592914256501087,0.4940508912951893,0.47209439458559593,0.22889582365261063,0.0,0.6961049708747438,-0.02365549672716593,0.42467304000589995,0.6338704071491678,0.4515204260478748,0.6707680696192266,0.0,0.6198978256409697,0.39037847093085104,0.6961049708747438,0.42859734221079476,0.477407082041002,0.0,0.6964693141323696,0.0,0.0,0.0,0.0,0.29898057805186345,0.8096581635323481,-0.053252703456045915,0.0,0.6559260794317541,0.5554518428599393,0.0,0.44657181474083063,-0.0677050766185622,0.0,0.0,0.0,0.39648150243680136,-0.07193536082504327,-0.07193536082504301,0.5634480622988522,0.5176002536638248,0.4774463668746657,0.0,0.4774070820410021,0.0,0.0,0.5261980661376431,0.45835300315159255,0.0,0.4431855891368105,0.5574299797494855,0.15201230261699933,-0.10025335355905247,0.0,-0.0677050766185622,0.0,0.0,0.0,0.0,0.40904177671391506,0.0,0.0,0.0,0.5020391913186417,0.0,-0.05325270345604587,0.0,0.0,-0.0677050766185622
Rv0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0324,0.5585229907486291,0.348103823247228,0.0,0.0,0.0,0.0,0.6575317807086343,0.0,0.5661226819362644,0.38120038097537207,0.0,0.6504182404215891,0.0,0.54967257049384,0.0,1.0,0.6839772001860569,0.0,-0.03221495745029533,0.0,0.7038797583753583,0.610233510419162,0.0,0.0,0.0,0.5856325479099909,-0.10312414151622738,0.0,0.3575032105473197,0.6034831367559652,0.13717015504450683,0.0,0.7421318916133844,0.7982697110552489,0.7676094734522605,0.48513798036184874,0.0,0.5374159069944794,-0.029216646966125134,0.4927281199443272,0.7963236055301903,0.7390169841331352,0.8423568085440262,0.0,0.6034831367559653,0.48215220757822236,0.5753377633036276,0.529355920208258,0.589640299503913,0.0,0.582873959094307,0.0,0.0,0.0,0.0,0.4541059919680957,0.691336854379587,-0.06577183539250293,0.0,0.5334443955905548,0.6694121882497546,0.0,0.732160800823656,0.32763297151576914,0.0,0.0,0.0,0.6632733515232833,-0.08884658250243078,0.348103823247228,0.8960350127637179,0.8313080293881496,0.8908764231271865,0.0,0.4387799935567351,0.0,0.0,0.4960719278188045,0.5661068137100056,0.0,0.5473737054700908,0.5842927534135566,0.596812197267908,0.48513798036184824,0.0,0.32763297151576914,0.0,0.0,0.0,0.0,0.40581884645864424,0.0,0.0,0.0,0.7538330699395587,0.0,0.2576962075214463,0.0,0.0,0.32763297151576914
Rv0330c,0.3820169914517907,0.5089406827486885,0.0,0.0,0.0,0.0,0.5236728267316436,0.0,0.3301491737686737,0.6205776906804462,0.0,0.3540513707149466,0.0,0.136001847952451,0.0,0.6839772001860569,1.0,0.0,-0.057195407679103326,0.0,0.48143770640121647,0.41738580791620755,0.0,0.0,0.0,0.4005593104573024,-0.07053456158586009,0.0,0.21143767293834417,0.31226184704033916,0.19603864489006395,0.0,0.5076012933945044,0.6263578001562918,0.603873472370926,0.3356515769281013,0.0,0.167778996833327,-0.01998352039071478,0.4459425659449162,0.5118921586521432,0.5829573442477596,0.5422526444625306,0.0,0.3122618470403392,0.32978111700287893,0.36555384575276956,0.36206738020595863,0.40330052117155485,0.0,0.3965798028163473,0.0,0.0,0.0,0.0,0.6639197795548882,0.4425103538860632,-0.044986435822862596,0.0,0.33765987684459065,0.18912407913390983,0.0,0.5779498872487054,0.4790115393124885,0.0,0.0,0.0,0.5278323267611882,-0.060769036746112184,0.5089406827486885,0.6983772886762085,0.6506441855374361,0.6093391616023017,0.0,0.20660409646722006,0.0,0.0,0.24394995215015236,0.3872041534476196,0.0,0.37439113452290057,0.47090168915908415,0.5600021806509179,0.7092896959575252,0.0,0.4790115393124885,0.0,0.0,0.0,0.0,0.34554737023254406,0.0,0.0,0.0,0.3554007322793069,0.0,0.3767614000164737,0.0,0.0,0.4790115393124885
Rv0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0445c,-0.06654201713412657,-0.029109069834292376,0.0,0.0,0.0,0.0,-0.06421160280068575,0.0,0.0008389669173988382,-0.043486200036420584,0.0,-0.05917512637388769,0.0,-0.008659951660514132,0.0,-0.03221495745029533,-0.05719540767910332,0.0,1.0,0.0,-0.07512432820857413,-0.09491183286228898,0.0,0.0,0.0,-0.05912351273296162,0.4941329579546244,0.0,-0.0368294855210352,-0.06421160280068575,-0.09046323686831631,0.0,-0.06819973376629254,-0.042395912849698354,-0.04671715131233925,-0.04056811332287794,0.0,0.04484191248061323,-0.009572336863238795,-0.05310655519494402,-0.018505830254939983,-0.05094303351475854,-0.013015975406468509,0.0,-0.06421160280068575,0.15796896049174125,-0.04989452233758389,0.13200902642491658,-0.09994284109217592,0.0,-0.09131427383011954,0.0,0.0,0.0,0.0,-0.03797316245786215,-0.03221495745029534,-0.0215490218716919,0.0,0.03502127145363492,0.007935119673021178,0.0,-0.05198666788761997,-0.027397260273972563,0.0,0.0,0.0,-0.06320944383519234,0.09217872114192598,-0.029109069834292376,-0.02984403224687922,-0.03795932938667408,-0.045646508310875654,0.0,0.06755912721873364,0.0,0.0,-0.08596872670544471,-0.10606519220385181,0.0,0.13782432327017952,-0.07808100334232683,-0.04990651285059496,-0.04056811332287791,0.0,-0.027397260273972563,0.0,0.0,0.0,0.0,-0.1241408832903551,0.0,0.0,0.0,-0.0008294326520918661,0.0,-0.02154902187169184,0.0,0.0,-0.027397260273972563
Rv0474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
