,policy,mean,std,count,sigma,impurity,num_dim,stdb,clf
196,default,0.7850399999999916,0.0013607534861428967,1000,1.0,-0.6,2,0.2,SVM
197,augment,0.798359999999989,0.00046896730198419534,1000,1.0,-0.6,2,0.2,SVM
198,average,0.7538399999999946,0.002249781304019559,1000,1.0,-0.6,2,0.2,SVM
199,ensemble,0.7961999999999895,0.0006908235934283304,1000,1.0,-0.6,2,0.2,SVM
200,plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.0,-0.52,2,0.2,SVM
201,default,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.52,2,0.2,SVM
202,augment,1.0,0.0,1000,0.0,-0.52,2,0.2,SVM
203,average,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.52,2,0.2,SVM
204,ensemble,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.52,2,0.2,SVM
205,plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.025,-0.52,2,0.2,SVM
206,default,0.8743199999999975,0.00044173830797513563,1000,0.025,-0.52,2,0.2,SVM
207,augment,0.9076399999999928,0.0008447153034862912,1000,0.025,-0.52,2,0.2,SVM
208,average,0.8752799999999975,0.00041217895566305967,1000,0.025,-0.52,2,0.2,SVM
209,ensemble,0.8746799999999975,0.00043345759364151176,1000,0.025,-0.52,2,0.2,SVM
210,plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.05,-0.52,2,0.2,SVM
211,default,0.9462799999999976,0.0008834829608668908,1000,0.05,-0.52,2,0.2,SVM
212,augment,0.9601200000000011,0.0009393977155965768,1000,0.05,-0.52,2,0.2,SVM
213,average,0.9483199999999982,0.0008664458023029058,1000,0.05,-0.52,2,0.2,SVM
214,ensemble,0.9460399999999975,0.0008557164545868219,1000,0.05,-0.52,2,0.2,SVM
215,plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.08,-0.52,2,0.2,SVM
216,default,0.9145599999999988,0.001432640519760228,1000,0.08,-0.52,2,0.2,SVM
217,augment,0.9466399999999996,0.0012402615242958488,1000,0.08,-0.52,2,0.2,SVM
218,average,0.92468,0.0013268979833650693,1000,0.08,-0.52,2,0.2,SVM
219,ensemble,0.9139599999999986,0.0013760130129514849,1000,0.08,-0.52,2,0.2,SVM
220,plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.1,-0.52,2,0.2,SVM
221,default,0.8436799999999963,0.0016005684675825154,1000,0.1,-0.52,2,0.2,SVM
222,augment,0.8704799999999959,0.0016400180667478146,1000,0.1,-0.52,2,0.2,SVM
