,feature_set,case,num_zero
103,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, 0, 0)",0.0
104,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, 0, 1)",0.0
105,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, 1, -1)",0.0
106,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, 1, 0)",0.0
107,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, 1, 1)",0.0
108,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, -1, -1)",0.0
109,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, -1, 0)",0.0
110,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, -1, 1)",0.0
111,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, 0, -1)",0.0
112,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, 0, 0)",0.0
113,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, 0, 1)",0.0
114,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, 1, -1)",0.0
115,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, 1, 0)",0.0
116,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 0, 1, 1)",0.0
117,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, -1, -1)",0.0
118,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, -1, 0)",0.0
119,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, -1, 1)",0.0
120,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, 0, -1)",0.0
121,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, 0, 0)",0.0
122,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, 0, 1)",0.0
123,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, 1, -1)",0.0
124,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, 1, 0)",0.0
125,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, 1, 1, 1)",0.0
126,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, -1, -1)",0.0
127,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, -1, 0)",0.0
128,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, -1, 1)",0.0
129,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, 0, -1)",0.0
130,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, 0, 0)",-10.0
131,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, 0, 1)",0.0
132,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, 1, -1)",0.0
133,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, 1, 0)",0.0
134,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, -1, 1, 1)",0.0
135,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, -1, -1)",0.0
136,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, -1, 0)",0.0
137,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(0, -1, 0, -1, 1)",0.0
