GENE_ID,TB_HIGH1,TB_HIGH2,TB_HIGH3,TB_LOW1,TB_LOW2,TB_LOW3
Rv0903c,154.289105,106.3270346,165.9821636,187.4098986,131.2536987,163.1529418
Rv0904c,12.59502898,9.381797166,10.7581032,0,5.645320376,19.57835302
Rv0905,188.9254347,121.9633632,153.6871885,242.7404401,167.9482812,164.7844712
Rv0908,133.2973901,148.5451218,177.5087027,235.6010154,141.1330094,66.89270613
Rv0915c,35.68591545,17.19996147,14.60028291,0,0,26.10447069
Rv0916c,2.099171497,6.254531444,1.536871885,0,0,0
Rv0917,40.93384419,31.27265722,49.17990033,12.49399324,55.04187367,13.05223534
Rv0924c,22.04130072,21.89086005,9.989667254,0,35.28325235,19.57835302
Rv0928,216.2146642,126.6542617,163.6768558,196.3341795,119.963058,101.1548239
Rv0929,74.52058815,68.79984589,63.01174729,107.0913706,57.86453385,112.5755298
Rv0930,78.71893114,75.05437733,43.03241279,78.53367181,67.74384451,16.31529418
Rv0931c,990.8089466,955.3796781,1100.40027,917.4160752,1280.076395,1248.120005
Rv0932c,863.8090711,799.016392,968.2292877,605.0662441,952.6478134,1071.914828
Rv0933,81.86768839,73.49074447,49.17990033,73.17910327,153.8349802,101.1548239
Rv0934,72.42141665,78.18164305,64.54861918,21.41827413,55.04187367,65.26117672
Rv0935,56.67763042,56.290783,67.62236295,14.27884942,29.63793197,78.31341206
Rv0936,35.68591545,42.21808725,29.96900176,80.31852798,8.467980564,35.89364719
Rv0937c,107.0577464,46.90898583,65.31705512,101.7368021,100.2044367,143.5745888
Rv0938,5.247928743,14.07269575,7.684359426,0,7.05665047,6.526117672
Rv0946c,103.9089891,70.36347875,68.39079889,67.82453474,40.92857273,127.2592946
Rv0949,95.51230312,114.1451989,112.1916476,119.5853639,95.97044639,141.9430594
Rv0951,126.9998756,114.1451989,86.83326152,108.8762268,276.6206984,40.78823545
Rv0952,76.61975964,65.67258016,56.09582381,180.2704739,183.4729122,112.5755298
Rv0956,16.79337198,4.690898583,7.684359426,0,16.93596113,6.526117672
Rv0957,36.7355012,51.59988441,67.62236295,58.90025385,88.91379592,0
Rv0960,213.065907,325.2356351,348.101482,89.24280887,227.2241451,301.8329423
Rv0962c,0,0,1.536871885,0,0,0
Rv0967,31.48757246,46.90898583,26.12682205,0,47.9852232,14.68376476
Rv0969,210.9667355,203.2722719,203.6355248,91.02766505,172.1822715,370.3571779
Rv0971c,13.64461473,9.381797166,10.7581032,10.70913706,16.93596113,35.89364719
Rv0972c,40.93384419,9.381797166,14.60028291,83.88824034,49.39655329,35.89364719
Rv0973c,37.78508695,34.39992294,37.65336119,42.83654826,43.75123291,19.57835302
Rv0974c,11.54544323,17.19996147,10.7581032,112.4459392,25.40394169,0
Rv0975c,6.297514491,0,16.1371548,76.74881563,19.75862132,0
Rv0977,6.297514491,26.58175864,16.90559074,0,2.822660188,0
Rv0979A,2.099171497,0,1.536871885,46.40626061,0,3.263058836
Rv0980c,4.198342994,12.50906289,1.536871885,0,0,0
Rv0982,862.7594853,777.1255319,932.8812343,439.0746196,860.9113573,895.7096504
Rv0983,1061.131192,1189.924607,1230.265944,796.0458551,690.140416,1021.337416
Rv0984,403.0409274,570.7259943,540.9789036,358.7560917,440.3349893,394.8301191
Rv0985c,14.69420048,9.381797166,4.610615656,0,0,0
Rv0989c,17.84295773,9.381797166,16.1371548,24.98798648,0,0
Rv0993,35.68591545,31.27265722,15.36871885,0,16.93596113,45.6828237
Rv0994,77.66934539,64.1089473,49.94833627,3.569712355,19.75862132,22.84141185
Rv0995,10.49585749,0,4.610615656,0,0,0
Rv1001,70.32224515,89.12707308,110.6547757,0,8.467980564,17.9468236
Rv1008,6.297514491,10.94543003,4.610615656,0,0,0
Rv1009,109.1569178,148.5451218,141.3922134,108.8762268,100.2044367,76.68188264
Rv1011,31.48757246,42.21808725,20.74777045,0,29.63793197,6.526117672
Rv1013,45.13218719,76.61801019,79.91733803,107.0913706,49.39655329,89.73411799
Rv1014c,13.64461473,7.818164305,18.44246262,8.924280887,8.467980564,9.789176508
Rv1015c,15.74378623,43.78172011,37.65336119,7.13942471,77.62315517,19.57835302
Rv1016c,9.446271737,15.63632861,22.28464234,44.62140444,33.87192226,0
Rv1017c,70.32224515,64.1089473,81.45420992,80.31852798,129.8423686,61.99811788
Rv1018c,62.97514491,75.05437733,73.00141455,0,135.487689,65.26117672
Rv1020,166.884134,262.6903207,155.9924964,155.2824874,105.849757,39.15670603
Rv1022,14.69420048,1.563632861,12.29497508,7.13942471,31.04926207,40.78823545
Rv1023,60.87597342,100.0725031,66.08549107,21.41827413,84.67980564,9.789176508
Rv1027c,3.148757246,1.563632861,11.52653914,0,0,0
Rv1028c,54.57845892,65.67258016,67.62236295,83.88824034,36.69458244,47.31435312
Rv1029,17.84295773,35.9635558,19.97933451,0,32.46059216,0
Rv1030,33.58674395,56.290783,25.35838611,21.41827413,35.28325235,0
Rv1031,7.34710024,32.83629008,8.452795369,0,16.93596113,0
Rv1032c,9.446271737,20.32722719,16.90559074,0,0,11.42070593
Rv1033c,10.49585749,0,5.379051598,0,16.93596113,0
Rv1037c,26.23964371,10.94543003,15.36871885,32.12741119,31.04926207,0
Rv1038c,3.148757246,9.381797166,9.989667254,0,0,0
Rv1039c,8.396685988,9.381797166,6.915923484,14.27884942,0,45.6828237
Rv1040c,2.099171497,0,2.305307828,0,8.467980564,0
Rv1058,197.3221207,121.9633632,185.1930622,198.1190357,258.2734072,212.0988243
Rv1064c,2.099171497,4.690898583,0,35.69712355,0,0
Rv1067c,9.446271737,20.32722719,9.989667254,0,7.05665047,19.57835302
Rv1068c,4.198342994,14.07269575,6.147487541,48.19111679,5.645320376,0
Rv1070c,53.52887318,50.03625155,33.04274553,14.27884942,91.73645611,30.99905894
Rv1071c,19.94212922,62.54531444,25.35838611,10.70913706,59.27586395,13.05223534
Rv1074c,168.9833055,123.526996,207.4777045,165.9916245,314.726611,190.8889419
Rv1076,3.148757246,9.381797166,4.610615656,0,14.11330094,0
Rv1077,133.2973901,132.9087932,116.0338273,160.637056,131.2536987,58.73505905
