ID_REF,t0h.rep1,t0h.rep2,t0h.rep3,d1.rep1,d1.rep2,d1.rep3,d2.rep1,d2.rep2,d2.rep3,d3.rep1,d3.rep2,d3.rep3,d5.rep1,d5.rep2,d5.rep3,d7.rep1,d7.rep2,d7.rep3,d8.rep1,d8.rep2,d8.rep3
Rv0057,10.48086836,10.80125785,9.412722929,11.53882155,11.19898756,10.92483903,11.34834309,12.29919275,11.20465762,11.10713069,10.77806715,11.39153474,11.26009205,11.08564385,11.13485567,10.15818668,11.20233825,11.46279836,12.65010334,12.95509493,13.46470869
Rv0058,12.05709474,11.71208004,11.68449731,12.27711541,12.28305423,12.31641842,10.67235755,11.25968917,11.04069821,10.59352394,11.38574631,10.35897036,10.66737787,9.512878696,10.63980457,8.991141035,10.71919208,10.56543834,12.7909194,12.27082592,12.45650855
Rv0059,10.80331944,10.11298797,10.23065203,11.60108427,10.9773931,10.21288709,9.529193498,10.47297951,9.627629529,9.304496388,10.68923681,9.030583127,9.364065405,8.304996227,9.787673168,8.955134821,9.427086298,9.638223887,11.88475656,12.13964712,12.10432297
Rv0060,11.81761753,11.65733296,11.33229632,11.85004272,11.65727323,10.47562037,11.7732639,11.81196757,10.52797844,11.95734954,11.87450379,11.67976678,12.06156501,11.50626459,11.96533578,11.73927115,11.07193819,12.10107164,12.18153499,12.29494274,12.69582716
Rv0061,10.76229699,10.8025121,9.95529435,11.92804912,11.04824368,10.79285269,12.00274446,12.27863862,10.59155669,11.88114879,12.28480722,10.91889047,11.91211883,12.16991527,12.10490706,12.8257378,11.81031479,12.65595616,11.36975155,12.3137477,12.38065873
Rv0062,8.889325547,8.734193698,8.674353765,9.269241851,9.21711488,8.908058946,9.509116032,8.850295025,8.794297689,9.011737771,8.526638094,9.0139809,8.686273053,8.933428261,8.981190376,9.499781304,8.767275536,9.245079918,10.10707787,9.494347233,9.680665122
Rv0063,8.847267379,8.69191101,8.515345094,8.13815277,8.616124434,8.533558827,8.065770707,7.313440713,8.384282378,8.302782397,8.098289919,8.349092208,8.131862298,7.962298081,8.058229976,8.934044729,8.468921898,8.578364071,8.468398725,8.459913807,8.534321686
Rv0064,12.38711954,11.70960464,12.03823689,11.81358128,12.35218128,11.49682649,11.85008147,12.10964748,11.30861485,11.75845459,11.72079911,11.93805383,12.398263,11.48900949,12.77195955,12.68906188,12.81304928,12.9949133,11.04457651,10.98512079,11.2170048
Rv0065,8.752785375,8.887017457,7.606951658,9.137613052,8.937209035,9.244207745,10.41678702,11.21843343,8.486130958,9.342655766,10.57087411,9.343369065,9.883709065,8.082621616,10.82058433,10.65050365,10.25553323,11.2088977,9.058471424,10.83884134,10.79695536
Rv0066c,11.29081425,10.68729204,10.77866379,10.41442058,10.53574377,8.969153908,11.8193543,12.36155877,11.07498682,11.33109634,11.5324793,11.13443114,10.58404429,10.76514238,11.1002166,10.15131743,10.19741052,10.67075541,11.93517967,11.87279359,11.91803242
