GENE_ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25
Rv1679,8.090165073,7.726878331,7.70540189,8.049587312,7.910236062,7.870342446,7.93215971,7.838245101,7.46936979,7.97621886,8.200892717,7.605314912,8.086614735,8.031104155,7.802320485,7.994640666,7.444075555,7.469895707,7.497910828,7.663990398,7.785757464,7.432060813,7.085967956,6.769534441,7.036284299,7.29213917
Rv1680,7.338192624,6.798169228,6.730736879,7.068032108,6.919063857,6.805732819,6.794428521,6.846551573,7.076963299,7.123039686,6.962523117,6.969028034,7.052142989,6.835245049,6.970958026,6.936516977,6.895398838,6.953477154,6.5113548,7.112066941,7.515889766,7.269441922,6.466249353,6.214254572,6.144722319,6.586208739
Rv1681,7.226974089,6.904996295,6.418588361,6.612626825,6.735133548,6.481846888,6.265214926,6.509052778,7.100501172,7.170011502,6.764304042,6.849734813,6.621287081,6.765866081,6.667862379,6.597881043,6.628212404,6.50873576,6.653236113,7.472038511,7.261321737,7.160665703,6.318093914,6.066631166,6.157771919,6.20766132
Rv1682,6.347080949,5.813005544,5.929956334,5.851432986,5.838513244,5.797885483,5.655588349,5.983238919,7.330268452,6.41911746,6.022791771,7.579761354,5.973231971,5.793018823,6.359339215,6.287706542,6.648762603,6.439138388,6.08087881,7.252857209,7.392645202,7.469962113,5.892981673,5.673406679,5.614866695,5.626154163
Rv1683,9.686596796,9.811394726,10.16890582,10.22273597,10.21527629,10.21685196,10.11045017,10.03948922,9.227193147,9.394434415,10.05752167,9.224333108,10.39681481,10.48980263,9.864954094,9.729630597,9.291967688,9.757983248,10.406687,9.082044679,9.133573246,9.075417995,9.666739912,9.684708689,9.708101848,9.892521116
Rv1684,5.900628531,5.933834831,6.258662345,5.969726857,6.105082936,6.021495229,5.60202339,5.644253961,4.585712175,4.98835315,5.318244622,4.57237455,5.678038673,5.214251865,4.605147073,4.866356019,5.741699889,5.168925665,5.339053128,4.269924195,5.003079089,4.898556178,5.394320804,5.423041371,5.439312938,5.581292428
Rv1685c,6.566939432,6.696554383,6.858212882,6.742466764,6.933675626,6.99935582,6.747089245,6.422579596,6.339787023,6.392957416,6.23543539,6.524902238,6.227267037,6.115298527,5.720750602,6.065688694,6.455523246,6.419791239,6.227670929,6.681660782,6.709912832,6.695400043,6.177713864,6.305923026,6.350585527,6.375790392
Rv1686c,6.466913062,6.259782253,5.707490502,6.006124141,5.530524299,5.523323761,5.615551488,5.445226724,6.416269945,6.158903121,4.897885879,6.361016624,5.503404344,5.877676308,5.972223141,5.67526112,5.707570561,6.31139036,5.600700141,6.867264125,7.006332467,6.791924806,5.269104901,5.598591329,5.441412947,5.569855583
Rv1687c,6.201431023,5.717497584,5.499461358,5.151200389,5.187636529,5.04353476,4.927748588,5.19998144,6.101896872,6.283298836,5.152832502,5.755601086,5.220627719,5.339858693,5.515565335,5.51035944,5.887165697,5.939650174,5.343795275,6.728655988,6.841390499,6.516267214,5.084092747,4.706038478,4.887936169,4.837820178
Rv1688,6.223160259,5.865599939,3.88162211,4.071939671,3.852451928,3.815869475,4.292171703,3.492129975,7.633987266,7.273455492,4.29176499,7.377109877,3.711043128,3.895153699,3.905258674,4.750443829,6.081087363,5.24091972,4.316523039,7.989184929,7.707188755,7.427231078,4.796811525,4.824693977,4.790231261,4.58754512
Rv1689,8.318668019,8.481123312,8.575025825,8.69664067,8.796170885,8.503664388,8.644096895,8.719665059,8.468864982,8.618273472,8.446526017,8.237677707,8.336064497,8.132908023,7.738377668,7.641056582,7.833297318,7.692441256,7.568427247,8.346321048,8.410803998,8.38954828,8.271162884,8.498177532,8.53764885,8.766124835
