index,siglvl,prior_prob,num_sample,num_pos,instance_str,__col_key__,index
Rv0100[-1]+Rv1067c[-1]+Rv2958c[0]+Rvnt15[0],0.0001911029760000016,0.24,6,6,,1,Rv0100[-1]+Rv1067c[-1]+Rv2958c[0]+Rvnt15[0]
Rv0100[-1]+Rv1200[0],0.00028072650031907287,0.24,12,9,,1,Rv0100[-1]+Rv1200[0]
Rv0100[-1]+Rv1318c[0]+Rvnt04[0]+Rvnt15[0],0.0007962623999999696,0.24,5,5,,1,Rv0100[-1]+Rv1318c[0]+Rvnt04[0]+Rvnt15[0]
Rv0100[-1]+Rv1501[0]+Rv2088[0],0.00028072650031907287,0.24,12,9,,1,Rv0100[-1]+Rv1501[0]+Rv2088[0]
Rv0100[0]+Rv0483[-1],-0.0007964406154673531,0.24,26,0,,1,Rv0100[0]+Rv0483[-1]
Rv0110[0]+Rv0241c[0]+Rv0411c[0],0.0003024430758653551,0.24,29,16,,1,Rv0110[0]+Rv0241c[0]+Rv0411c[0]
Rv0110[0]+Rv0241c[0]+Rv0411c[0]+Rv2976c[0],1.1593252405295296e-05,0.24,24,16,,1,Rv0110[0]+Rv0241c[0]+Rv0411c[0]+Rv2976c[0]
Rv0110[0]+Rv0335c[-1]+Rv2025c[0],0.000886664581110308,0.24,11,8,,1,Rv0110[0]+Rv0335c[-1]+Rv2025c[0]
Rv0110[0]+Rv1753c[0]+Rv3551[0],0.00042209173404683664,0.24,27,15,,1,Rv0110[0]+Rv1753c[0]+Rv3551[0]
Rv0110[0]+Rv1753c[0]+Rv3551[0]+Rvnt41[0],0.0009954258622164591,0.24,26,14,,1,Rv0110[0]+Rv1753c[0]+Rv3551[0]+Rvnt41[0]
Rv0110[0]+Rv2126c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0110[0]+Rv2126c[-1]
Rv0110[0]+Rv2330c[0]+Rv2382c[-1],1.9195465517096721e-07,0.24,18,15,,1,Rv0110[0]+Rv2330c[0]+Rv2382c[-1]
Rv0110[0]+Rv2382c[-1],7.07354663509463e-07,0.24,19,15,,1,Rv0110[0]+Rv2382c[-1]
Rv0113[0]+Rv2132[0]+Rv2824c[-1],8.937763270089327e-05,0.24,11,9,,1,Rv0113[0]+Rv2132[0]+Rv2824c[-1]
Rv0115[0]+Rv0117[-1]+Rv1788[-1]+Rv1901[0],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0117[-1]+Rv1788[-1]+Rv1901[0]
Rv0115[0]+Rv0118c[-1]+Rv1702c[0],0.00028072650031907287,0.24,12,9,,1,Rv0115[0]+Rv0118c[-1]+Rv1702c[0]
Rv0115[0]+Rv0119[-1]+Rv1662[-1]+Rv3839[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0119[-1]+Rv1662[-1]+Rv3839[-1]
Rv0115[0]+Rv0119[-1]+Rv3087[-1]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0119[-1]+Rv3087[-1]+Rvnt37[-1]
Rv0115[0]+Rv0500B[0]+Rv1706A[-1],7.793332243666296e-05,0.24,9,8,,1,Rv0115[0]+Rv0500B[0]+Rv1706A[-1]
Rv0115[0]+Rv0560c[0]+Rv1135c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0560c[0]+Rv1135c[-1]
Rv0115[0]+Rv0571c[-1]+Rv1901[0],1.5216811433127475e-07,0.24,11,11,,1,Rv0115[0]+Rv0571c[-1]+Rv1901[0]
Rv0115[0]+Rv0574c[-1],1.4242935499897413e-06,0.24,12,11,,1,Rv0115[0]+Rv0574c[-1]
Rv0115[0]+Rv0574c[-1]+Rv0630c[-1],1.4242935499897413e-06,0.24,12,11,,1,Rv0115[0]+Rv0574c[-1]+Rv0630c[-1]
Rv0115[0]+Rv0574c[-1]+Rv0630c[-1]+Rv1722[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0574c[-1]+Rv0630c[-1]+Rv1722[-1]
Rv0115[0]+Rv0574c[-1]+Rv3084[-1]+Rv3700c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0574c[-1]+Rv3084[-1]+Rv3700c[-1]
Rv0115[0]+Rv0614[-1]+Rv3344c[-1]+Rv3595c[0],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0614[-1]+Rv3344c[-1]+Rv3595c[0]
Rv0115[0]+Rv0683[0]+Rv2037c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0683[0]+Rv2037c[-1]
Rv0115[0]+Rv0744c[-1]+Rv1135c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0744c[-1]+Rv1135c[-1]
Rv0115[0]+Rv0840c[-1]+Rv1135c[-1]+Rv2064[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0840c[-1]+Rv1135c[-1]+Rv2064[-1]
Rv0115[0]+Rv0848[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0848[-1]
Rv0115[0]+Rv0848[-1]+Rv3442c[0],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0848[-1]+Rv3442c[0]
Rv0115[0]+Rv0849[-1]+Rv3107c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0115[0]+Rv0849[-1]+Rv3107c[-1]
Rv0115[0]+Rv0962c[-1]+Rv1669[-1],0.0001911029760000016,0.24,6,6,,1,Rv0115[0]+Rv0962c[-1]+Rv1669[-1]
Rv0115[0]+Rv0971c[-1],2.1380621666455824e-05,0.24,18,13,,1,Rv0115[0]+Rv0971c[-1]
