GENE_ID,Start,End,Strand,Length
Rv0812,906423,907292,+,869
Rv0813c,907338,908018,-,680
Rv0814c,908181,908483,-,302
Rv0815c,908485,909318,-,833
Rv0816c,909611,910033,-,422
Rv0817c,910030,910842,-,812
Rv0818,910972,911739,+,767
Rv0819,911736,912683,+,947
Rv0820,912726,913502,+,776
Rv0821c,913558,914199,-,641
Rv0822c,914257,916311,-,2054
Rv0823c,916477,917646,-,1169
Rv0824c,917734,918750,-,1016
Rv0825c,918912,919553,-,641
Rv0826,919634,920689,+,1055
Rv0827c,920741,921133,-,392
Rv0828c,921191,921613,-,422
Rv0829,921575,921865,+,290
Rv0830,921970,922875,+,905
Rv0831c,922894,923709,-,815
Rv0832,924951,925364,+,413
Rv0833,925361,927610,+,2249
Rv0834c,927837,930485,-,2648
Rv0835,930953,931597,+,644
Rv0836c,932279,932932,-,653
Rv0837c,933003,934031,-,1028
Rv0838,934720,935490,+,770
Rv0839,935577,936389,+,812
Rv0840c,936457,937317,-,860
Rv0841,937593,937835,+,242
Rv0842,938112,939404,+,1292
Rv0843,939388,940392,+,1004
Rv0844c,940456,941106,-,650
Rv0845,941190,942467,+,1277
Rv0846c,942680,944194,-,1514
Rv0847,944343,944735,+,392
Rv0848,944938,946056,+,1118
Rv0849,946056,947315,+,1259
Rv0850,947312,947644,+,332
Rv0851c,947641,948468,-,827
Rv0852,948559,949395,+,836
Rv0853c,949436,951118,-,1682
Rv0854,951183,951626,+,443
Rv0855,951632,952711,+,1079
Rv0856,952825,953229,+,404
Rv0857,953257,953730,+,473
Rv0858c,953727,954920,-,1193
Rv0859,955077,956288,+,1211
Rv0860,956293,958455,+,2162
Rv0861c,958523,960151,-,1628
Rv0862c,960342,962612,-,2270
Rv0863,962599,962880,+,281
Rv0864,962890,963393,+,503
Rv0865,963390,963872,+,482
Rv0866,963869,964294,+,425
Rv0867c,964312,965535,-,1223
Rv0868c,965983,966261,-,278
Rv0869c,966265,967347,-,1082
Rv0870c,967344,967733,-,389
Rv0871,967898,968305,+,407
Rv0872c,968424,970244,-,1820
Rv0873,970505,972457,+,1952
Rv0874c,972546,973706,-,1160
Rv0875c,973806,974294,-,488
Rv0876c,974291,975937,-,1646
Rv0877,976075,976863,+,788
Rv0878c,976872,978203,-,1331
Rv0879c,978481,978756,-,275
Rv0880,978934,979365,+,431
Rv0881,979362,980228,+,866
Rv0882,980225,980509,+,284
Rv0883c,980506,981267,-,761
Rv0884c,981424,982554,-,1130
Rv0885,982762,983784,+,1022
Rv0886,983803,985530,+,1727
Rv0887c,985513,985971,-,458
Rv0888,987233,988705,+,1472
Rv0889c,988740,989861,-,1121
Rv0890c,989948,992596,-,2648
Rv0891c,992598,993455,-,857
Rv0892,993853,995340,+,1487
Rv0893c,995318,996295,-,977
Rv0894,996524,997705,+,1181
Rv0895,997782,999299,+,1517
Rv0896,999472,1000767,+,1295
Rv0897c,1000808,1002415,-,1607
Rv0898c,1002441,1002704,-,263
Rv0899,1002812,1003792,+,980
Rv0900,1003805,1003957,+,152
Rv0901,1003957,1004484,+,527
Rv0902c,1004501,1005841,-,1340
Rv0903c,1005852,1006562,-,710
Rv0904c,1006693,1008180,-,1487
Rv0905,1008207,1008938,+,731
Rv0906,1008944,1010062,+,1118
Rv0907,1010136,1011734,+,1598
Rv0908,1011731,1014124,+,2393
Rv0909,1014681,1014860,+,179
Rv0910,1014866,1015300,+,434
Rv0911,1015398,1016171,+,773
Rv0912,1016236,1016685,+,449
Rv0913c,1017217,1018725,-,1508
Rv0914c,1018727,1019965,-,1238
Rv0915c,1020058,1021329,-,1271
Rv0916c,1021344,1021643,-,299
Rv0917,1022087,1023868,+,1781
Rv0918,1024211,1024687,+,476
Rv0919,1024684,1025184,+,500
Rv0920c,1025497,1026816,-,1319
Rv0921,1027104,1027685,+,581
Rv0922,1027685,1029337,+,1652
Rv0923c,1029513,1030577,-,1064
Rv0924c,1030578,1031864,-,1286
Rv0925c,1031896,1032633,-,737
Rv0926c,1032710,1033786,-,1076
Rv0927c,1033840,1034631,-,791
Rv0928,1034903,1036015,+,1112
Rv0929,1036028,1037002,+,974
Rv0930,1036999,1037925,+,926
Rv0931c,1037920,1039914,-,1994
Rv0932c,1039936,1041048,-,1112
Rv0933,1041264,1042094,+,830
Rv0934,1042115,1043239,+,1124
Rv0935,1043299,1044315,+,1016
Rv0936,1044317,1045222,+,905
Rv0937c,1045199,1046020,-,821
Rv0938,1046136,1048415,+,2279
Rv0939,1048412,1050346,+,1934
Rv0940c,1050593,1051459,-,866
Rv0941c,1051544,1052317,-,773
Rv0942,1052360,1052638,+,278
Rv0943c,1052696,1053736,-,1040
Rv0944,1053765,1054241,+,476
Rv0945,1054247,1055008,+,761
Rv0946c,1055024,1056685,-,1661
Rv0947c,1057303,1057530,-,227
Rv0948c,1057646,1057963,-,317
Rv0949,1058260,1060575,+,2315
Rv0950c,1060656,1061654,-,998
Rv0951,1061964,1063127,+,1163
Rv0952,1063140,1064051,+,911
Rv0953c,1064114,1064962,-,848
Rv0954,1065127,1066038,+,911
Rv0955,1066078,1067445,+,1367
Rv0956,1067561,1068208,+,647
Rv0957,1068205,1069776,+,1571
Rv0958,1069883,1071262,+,1379
Rv0959,1071255,1073273,+,2018
Rv0960,1073545,1073928,+,383
Rv0961,1074074,1074421,+,347
Rv0962c,1074440,1075114,-,674
Rv0963c,1075297,1076097,-,800
Rv0964c,1076196,1076678,-,482
Rv0965c,1076778,1077197,-,419
Rv0966c,1077233,1077835,-,602
Rv0967,1077975,1078334,+,359
Rv0968,1078391,1078687,+,296
Rv0969,1078743,1081055,+,2312
Rv0970,1081052,1081684,+,632
Rv0971c,1081775,1082584,-,809
Rv0972c,1082584,1083750,-,1166
Rv0973c,1083747,1085750,-,2003
Rv0974c,1085756,1087345,-,1589
Rv0975c,1087348,1088496,-,1148
Rv0976c,1088493,1090175,-,1682
Rv0977,1090373,1093144,+,2771
Rv0978c,1093361,1094356,-,995
Rv0979A,1094886,1095059,+,173
Rv0979c,1094670,1094864,-,194
Rv0980c,1095078,1096451,-,1373
Rv0981,1096816,1097508,+,692
Rv0982,1097508,1099022,+,1514
Rv0983,1099066,1100460,+,1394
Rv0984,1100460,1101005,+,545
Rv0985c,1101025,1101480,-,455
Rv0986,1101803,1102549,+,746
Rv0987,1102542,1105109,+,2567
Rv0988,1105116,1106276,+,1160
Rv0989c,1106405,1107382,-,977
Rv0990c,1107443,1108099,-,656
Rv0991c,1108172,1108504,-,332
Rv0992c,1108578,1109171,-,593
Rv0993,1109272,1110192,+,920
Rv0994,1110269,1111549,+,1280
Rv0995,1111612,1112223,+,611
Rv0996,1112384,1113460,+,1076
Rv0997,1114293,1114724,+,431
Rv0998,1114748,1115749,+,1001
Rv0999,1115767,1116525,+,758
Rv1000c,1116531,1117148,-,617
Rv1001,1117185,1118393,+,1208
Rv1002c,1118428,1119939,-,1511
Rv1003,1120022,1120879,+,857
Rv1004c,1120889,1122148,-,1259
Rv1005c,1122222,1123598,-,1376
Rv1006,1123714,1125417,+,1703
Rv1007c,1125444,1127003,-,1559
Rv1008,1127089,1127883,+,794
Rv1009,1128091,1129179,+,1088
Rv1010,1129152,1130105,+,953
Rv1011,1130191,1131111,+,920
Rv1012,1131128,1131421,+,293
Rv1013,1131625,1133259,+,1634
Rv1014c,1133333,1133908,-,575
Rv1015c,1133921,1134568,-,647
Rv1016c,1134785,1135465,-,680
Rv1017c,1135501,1136481,-,980
Rv1018c,1136573,1138060,-,1487
Rv1019,1138315,1138908,+,593
Rv1020,1138967,1142671,+,3704
Rv1021,1142671,1143648,+,977
Rv1022,1143736,1144467,+,731
Rv1023,1144564,1145853,+,1289
Rv1024,1145858,1146544,+,686
Rv1025,1146561,1147028,+,467
Rv1026,1147019,1147978,+,959
Rv1027c,1148427,1149107,-,680
Rv1028A,1151920,1152012,+,92
Rv1028c,1149104,1151686,-,2582
Rv1029,1152012,1153727,+,1715
Rv1030,1153724,1155853,+,2129
Rv1031,1155853,1156422,+,569
Rv1032c,1156426,1157955,-,1529
Rv1033c,1157963,1158736,-,773
Rv1034c,1158918,1159307,-,389
Rv1035c,1159375,1160061,-,686
Rv1036c,1160095,1160433,-,338
Rv1037c,1160544,1160828,-,284
Rv1038c,1160855,1161151,-,296
Rv1039c,1161297,1162472,-,1175
Rv1040c,1162549,1163376,-,827
Rv1041c,1164572,1165435,-,863
Rv1042c,1165092,1165499,-,407
Rv1043c,1165781,1166806,-,1025
Rv1044,1167053,1167676,+,623
Rv1045,1167673,1168554,+,881
Rv1046c,1168704,1169228,-,524
Rv1047,1169423,1170670,+,1247
Rv1048c,1171038,1172153,-,1115
Rv1049,1172386,1172832,+,446
Rv1050,1172881,1173786,+,905
Rv1051c,1173945,1174700,-,755
Rv1052,1175723,1176112,+,389
Rv1053c,1176011,1176286,-,275
Rv1054,1176928,1177242,+,314
Rv1055,1177239,1177373,+,134
Rv1056,1177628,1178392,+,764
Rv1057,1179396,1180577,+,1181
Rv1058,1180684,1182315,+,1631
Rv1059,1182391,1183455,+,1064
Rv1060,1183508,1183981,+,473
Rv1061,1184015,1184878,+,863
Rv1062,1184883,1185740,+,857
Rv1063c,1185741,1186823,-,1082
Rv1064c,1186904,1187323,-,419
Rv1065,1187435,1188001,+,566
Rv1066,1187998,1188393,+,395
Rv1067c,1188421,1190424,-,2003
Rv1068c,1190757,1192148,-,1391
Rv1069c,1192510,1194273,-,1763
Rv1070c,1194270,1195043,-,773
Rv1071c,1195055,1196092,-,1037
Rv1072,1196279,1197115,+,836
Rv1073,1197231,1198082,+,851
Rv1074c,1198156,1199373,-,1217
Rv1075c,1199426,1200370,-,944
Rv1076,1200767,1201660,+,893
Rv1077,1201717,1203111,+,1394
Rv1078,1203313,1204035,+,722
Rv1079,1204067,1205233,+,1166
Rv1080c,1205304,1205798,-,494
Rv1081c,1205984,1206418,-,434
Rv1082,1206520,1207386,+,866
Rv1083,1207383,1207649,+,266
Rv1084,1207636,1209657,+,2021
Rv1085c,1209756,1210484,-,728
Rv1086,1210595,1211383,+,788
Rv1087,1211560,1213863,+,2303
Rv1087A,1214040,1214360,+,320
Rv1088,1214513,1214947,+,434
Rv1089,1214769,1215131,+,362
Rv1089A,1215517,1215621,+,104
Rv1090,1215599,1216054,+,455
Rv1091,1216469,1219030,+,2561
Rv1092c,1219248,1220186,-,938
Rv1093,1220574,1221854,+,1280
Rv1094,1221959,1222786,+,827
Rv1095,1222997,1224298,+,1301
Rv1096,1224385,1225260,+,875
Rv1097c,1225263,1226144,-,881
Rv1098c,1226141,1227565,-,1424
Rv1099c,1227596,1228582,-,986
Rv1100,1228683,1229384,+,701
Rv1101c,1229391,1230548,-,1157
Rv1102c,1230660,1230971,-,311
Rv1103c,1230971,1231291,-,320
Rv1104,1231301,1231990,+,689
Rv1105,1232311,1232826,+,515
Rv1106c,1232844,1233956,-,1112
Rv1107c,1233966,1234223,-,257
Rv1108c,1234213,1235460,-,1247
Rv1109c,1235457,1236095,-,638
Rv1110,1236185,1237192,+,1007
Rv1111c,1237209,1238192,-,983
Rv1112,1238255,1239328,+,1073
Rv1113,1239416,1239613,+,197
Rv1114,1239610,1239984,+,374
Rv1115,1240187,1240885,+,698
Rv1116,1241003,1241188,+,185
Rv1116A,1241115,1241390,-,275
Rv1117,1241633,1241956,+,323
Rv1118c,1241971,1242831,-,860
Rv1119c,1242864,1243013,-,149
Rv1120c,1243010,1243504,-,494
Rv1121,1243707,1245107,+,1400
Rv1122,1245129,1246151,+,1022
Rv1123c,1246144,1247052,-,908
Rv1124,1247127,1248077,+,950
Rv1125,1248082,1249326,+,1244
Rv1126c,1249330,1249935,-,605
Rv1127c,1249932,1251404,-,1472
Rv1128c,1251617,1252972,-,1355
Rv1129c,1253074,1254534,-,1460
Rv1130,1254555,1256135,+,1580
Rv1131,1256132,1257313,+,1181
Rv1132,1257325,1259055,+,1730
Rv1133c,1259067,1261346,-,2279
Rv1134,1261922,1262158,+,236
Rv1135A,1264314,1264556,+,242
Rv1135c,1262272,1264128,-,1856
Rv1136,1264606,1264947,+,341
Rv1137c,1265087,1265455,-,368
Rv1138c,1265472,1266488,-,1016
Rv1139c,1266485,1266985,-,500
Rv1140,1267347,1268195,+,848
Rv1141c,1268203,1269009,-,806
Rv1142c,1269152,1269958,-,806
Rv1143,1270062,1271144,+,1082
Rv1144,1271156,1271908,+,752
Rv1145,1272423,1273334,+,911
Rv1146,1273355,1274767,+,1412
Rv1147,1274900,1275550,+,650
Rv1148c,1276300,1277748,-,1448
Rv1149,1277893,1278300,+,407
Rv1150,1278269,1278817,+,548
Rv1151c,1278904,1279617,-,713
Rv1152,1279655,1280020,+,365
Rv1153c,1279998,1280846,-,848
Rv1154c,1280843,1281484,-,641
Rv1155,1281429,1281872,+,443
Rv1156,1282306,1282893,+,587
Rv1157c,1283056,1284171,-,1115
Rv1158c,1284179,1284862,-,683
Rv1159,1284992,1286287,+,1295
Rv1159A,1286284,1286568,-,284
Rv1160,1286595,1287020,+,425
Rv1161,1287328,1291026,+,3698
Rv1162,1291065,1292741,+,1676
Rv1163,1292798,1293403,+,605
Rv1164,1293406,1294146,+,740
Rv1165,1294168,1296054,+,1886
Rv1166,1296152,1298059,+,1907
Rv1167c,1298087,1298692,-,605
Rv1168c,1298764,1299804,-,1040
Rv1169c,1299822,1300124,-,302
Rv1170,1300304,1301215,+,911
Rv1171,1301307,1301747,+,440
Rv1172c,1301755,1302681,-,926
Rv1173,1302931,1305501,+,2570
Rv1174c,1305669,1306001,-,332
Rv1175c,1306202,1308226,-,2024
Rv1176c,1308223,1308792,-,569
Rv1177,1309005,1309331,+,326
Rv1178,1309364,1310452,+,1088
Rv1179c,1310480,1313299,-,2819
Rv1180,1313725,1315191,+,1466
Rv1181,1315234,1319982,+,4748
Rv1182,1320035,1321453,+,1418
Rv1183,1321520,1324528,+,3008
Rv1184c,1324532,1325611,-,1079
Rv1185c,1325776,1327512,-,1736
Rv1186c,1327689,1329305,-,1616
Rv1187,1329390,1331021,+,1631
Rv1188,1331021,1332010,+,989
Rv1189,1332092,1332964,+,872
Rv1190,1332980,1333858,+,878
Rv1191,1333931,1334845,+,914
Rv1192,1334927,1335754,+,827
Rv1193,1335794,1337215,+,1421
Rv1194c,1337248,1338513,-,1265
Rv1195,1339003,1339302,+,299
Rv1196,1339349,1340524,+,1175
Rv1197,1340659,1340955,+,296
Rv1198,1341006,1341290,+,284
Rv1199c,1341358,1342605,-,1247
Rv1200,1342942,1344219,+,1277
Rv1201c,1344216,1345169,-,953
Rv1202,1345260,1346324,+,1064
Rv1203c,1346321,1346905,-,584
Rv1204c,1346936,1348624,-,1688
Rv1205,1348719,1349282,+,563
Rv1206,1349332,1351125,+,1793
Rv1207,1351191,1352147,+,956
Rv1208,1352144,1353118,+,974
Rv1209,1353157,1353525,+,368
Rv1210,1353522,1354136,+,614
Rv1211,1354243,1354470,+,227
Rv1212c,1354498,1355661,-,1163
Rv1213,1355836,1357050,+,1214
Rv1214c,1357293,1357625,-,332
Rv1215c,1357759,1359444,-,1685
Rv1216c,1359472,1360146,-,674
Rv1217c,1360155,1361801,-,1646
Rv1218c,1361798,1362733,-,935
Rv1219c,1362723,1363361,-,638
Rv1220c,1363503,1364150,-,647
Rv1221,1364413,1365186,+,773
Rv1222,1365344,1365808,+,464
Rv1223,1365875,1367461,+,1586
Rv1224,1367463,1367858,+,395
Rv1225c,1367891,1368721,-,830
Rv1226c,1368832,1370295,-,1463
Rv1227c,1370292,1370825,-,533
Rv1228,1370920,1371477,+,557
Rv1229c,1371777,1372949,-,1172
Rv1230c,1372962,1374197,-,1235
Rv1231c,1374322,1374864,-,542
Rv1232c,1374861,1376168,-,1307
Rv1233c,1376230,1376826,-,596
Rv1234,1376976,1377503,+,527
Rv1235,1377524,1378930,+,1406
Rv1236,1378927,1379850,+,923
Rv1237,1379855,1380679,+,824
Rv1238,1380684,1381865,+,1181
Rv1239c,1381942,1383042,-,1100
Rv1240,1383213,1384202,+,989
Rv1241,1384278,1384538,+,260
Rv1242,1384535,1384966,+,431
Rv1243c,1384989,1386677,-,1688
Rv1244,1386857,1387717,+,860
Rv1245c,1387798,1388628,-,830
Rv1246c,1388685,1388978,-,293
Rv1247c,1388975,1389244,-,269
Rv1248c,1389357,1393052,-,3695
Rv1249c,1393194,1393982,-,788
Rv1250,1394179,1395918,+,1739
Rv1251c,1395821,1399240,-,3419
Rv1252c,1399296,1399904,-,608
Rv1253,1399970,1401661,+,1691
Rv1254,1401658,1402809,+,1151
Rv1255c,1402778,1403386,-,608
Rv1256c,1403386,1404603,-,1217
Rv1257c,1404717,1406084,-,1367
Rv1258c,1406081,1407340,-,1259
Rv1259,1407339,1408238,+,899
Rv1260,1408240,1409358,+,1118
Rv1261c,1409484,1409933,-,449
Rv1262c,1409938,1410372,-,434
Rv1263,1410431,1411819,+,1388
Rv1264,1411894,1413087,+,1193
Rv1265,1413260,1413940,+,680
Rv1266c,1413960,1415840,-,1880
Rv1267c,1416181,1417347,-,1166
Rv1268c,1417658,1418356,-,698
Rv1269c,1418579,1418953,-,374
Rv1270c,1419014,1419748,-,734
Rv1271c,1419961,1420302,-,341
Rv1272c,1420410,1422305,-,1895
Rv1273c,1422302,1424050,-,1748
Rv1274,1424197,1424754,+,557
Rv1275,1424751,1425293,+,542
Rv1276c,1425438,1425914,-,476
Rv1277,1426164,1427417,+,1253
Rv1278,1427414,1430041,+,2627
Rv1279,1430062,1431648,+,1586
Rv1280c,1431665,1433440,-,1775
Rv1281c,1433433,1435271,-,1838
Rv1282c,1435268,1436143,-,875
Rv1283c,1436140,1437117,-,977
Rv1284,1437324,1437815,+,491
Rv1285,1437909,1438907,+,998
Rv1286,1438907,1440751,+,1844
Rv1287,1440805,1441290,+,485
Rv1288,1441348,1442718,+,1370
Rv1289,1442767,1443399,+,632
Rv1290A,1445058,1445372,+,314
Rv1290c,1443482,1445047,-,1565
Rv1291c,1445499,1445834,-,335
Rv1292,1446379,1448031,+,1652
Rv1293,1448028,1449371,+,1343
Rv1294,1449375,1450700,+,1325
Rv1295,1450697,1451779,+,1082
Rv1296,1451997,1452947,+,950
Rv1297,1453204,1455012,+,1808
Rv1298,1455163,1455405,+,242
Rv1299,1455495,1456568,+,1073
Rv1300,1456565,1457542,+,977
Rv1301,1457558,1458211,+,653
Rv1302,1458295,1459509,+,1214
Rv1303,1459766,1460251,+,485
Rv1304,1460244,1460996,+,752
Rv1305,1461045,1461290,+,245
Rv1306,1461321,1461836,+,515
Rv1307,1461843,1463183,+,1340
Rv1308,1463228,1464877,+,1649
Rv1309,1464884,1465801,+,917
Rv1310,1465841,1467301,+,1460
Rv1311,1467315,1467680,+,365
Rv1312,1467688,1468131,+,443
Rv1313c,1468171,1469505,-,1334
Rv1314c,1469671,1470252,-,581
Rv1315,1470321,1471577,+,1256
Rv1316c,1477134,1477631,-,497
Rv1317c,1477628,1479118,-,1490
Rv1318c,1479199,1480824,-,1625
Rv1319c,1480894,1482501,-,1607
Rv1320c,1482514,1484217,-,1703
Rv1321,1484279,1484959,+,680
Rv1322,1484982,1485278,+,296
Rv1322A,1485313,1485771,-,458
Rv1323,1485862,1487031,+,1169
Rv1324,1487161,1488075,+,914
Rv1325c,1488154,1489965,-,1811
Rv1326c,1490117,1492312,-,2195
Rv1327c,1492320,1494425,-,2105
Rv1328,1494564,1497155,+,2591
Rv1329c,1497195,1499189,-,1994
Rv1330c,1499213,1500559,-,1346
Rv1331,1500661,1500966,+,305
Rv1332,1500926,1501582,+,656
Rv1333,1501599,1502633,+,1034
Rv1334,1502641,1503081,+,440
Rv1335,1503103,1503384,+,281
Rv1336,1503394,1504365,+,971
Rv1337,1504356,1505078,+,722
Rv1338,1505075,1505890,+,815
Rv1339,1505917,1506738,+,821
Rv1340,1506755,1507534,+,779
Rv1341,1507573,1508187,+,614
Rv1342c,1508184,1508546,-,362
Rv1343c,1508543,1508923,-,380
Rv1344,1508968,1509288,+,320
Rv1345,1509281,1510846,+,1565
Rv1346,1510846,1512006,+,1160
Rv1347c,1511973,1512605,-,632
Rv1348,1513047,1515626,+,2579
Rv1349,1515623,1517362,+,1739
Rv1350,1517491,1518234,+,743
Rv1351,1518231,1518560,+,329
Rv1352,1518763,1519134,+,371
Rv1353c,1519200,1519985,-,785
Rv1354c,1520005,1521876,-,1871
Rv1355c,1521885,1524032,-,2147
Rv1356c,1524029,1524820,-,791
Rv1357c,1525293,1526216,-,923
Rv1358,1526612,1530091,+,3479
Rv1359,1530173,1530925,+,752
Rv1360,1531348,1532370,+,1022
Rv1361c,1532443,1533633,-,1190
Rv1362c,1533948,1534610,-,662
Rv1363c,1534607,1535392,-,785
Rv1364c,1535683,1537644,-,1961
Rv1365c,1537783,1538169,-,386
Rv1366,1538390,1539211,+,821
Rv1367c,1539512,1540645,-,1133
Rv1368,1541020,1541805,+,785
Rv1369c,1541994,1542878,-,884
Rv1370c,1542929,1543255,-,326
Rv1371,1543359,1544828,+,1469
Rv1372,1544825,1546006,+,1181
Rv1373,1546012,1546992,+,980
Rv1374c,1547072,1547530,-,458
Rv1375,1547832,1549151,+,1319
Rv1376,1549148,1550641,+,1493
Rv1377c,1550579,1551217,-,638
Rv1378c,1551228,1552655,-,1427
Rv1379,1552654,1553235,+,581
Rv1380,1553232,1554191,+,959
Rv1381,1554188,1555480,+,1292
Rv1382,1555477,1555974,+,497
Rv1383,1555971,1557101,+,1130
Rv1384,1557101,1560448,+,3347
Rv1385,1560445,1561269,+,824
Rv1386,1561464,1561772,+,308
Rv1387,1561769,1563388,+,1619
Rv1388,1563694,1564266,+,572
Rv1389,1564401,1565027,+,626
Rv1390,1565093,1565425,+,332
Rv1391,1565441,1566697,+,1256
Rv1392,1566825,1568036,+,1211
Rv1393c,1568109,1569587,-,1478
Rv1394c,1569584,1570969,-,1385
Rv1395,1571047,1572081,+,1034
Rv1396c,1572127,1573857,-,1730
Rv1397c,1574112,1574513,-,401
Rv1398c,1574510,1574767,-,257
Rv1399c,1574850,1575809,-,959
Rv1400c,1575834,1576796,-,962
Rv1401,1576930,1577532,+,602
Rv1402,1577613,1579580,+,1967
Rv1403c,1579598,1580422,-,824
Rv1404,1580591,1581073,+,482
Rv1405c,1581145,1581969,-,824
Rv1406,1582166,1583104,+,938
Rv1407,1583101,1584474,+,1373
Rv1408,1584499,1585197,+,698
Rv1409,1585194,1586213,+,1019
Rv1410c,1586210,1587766,-,1556
Rv1411c,1587772,1588482,-,710
Rv1412,1588567,1589172,+,605
Rv1413,1589386,1589901,+,515
Rv1414,1589891,1590292,+,401
Rv1415,1590397,1591674,+,1277
Rv1416,1591689,1592153,+,464
Rv1417,1592150,1592614,+,464
Rv1418,1592639,1593325,+,686
Rv1419,1593505,1593978,+,473
Rv1420,1594042,1595982,+,1940
Rv1421,1595979,1596884,+,905
Rv1422,1596881,1597909,+,1028
Rv1423,1597906,1598883,+,977
Rv1424c,1598893,1599654,-,761
Rv1425,1599658,1601037,+,1379
Rv1426c,1601059,1602321,-,1262
Rv1427c,1602321,1603928,-,1607
Rv1428c,1603932,1604759,-,827
Rv1429,1604878,1606146,+,1268
Rv1430,1606386,1607972,+,1586
Rv1431,1608083,1609852,+,1769
Rv1432,1609849,1611270,+,1421
Rv1433,1611434,1612249,+,815
Rv1434,1612256,1612393,+,137
Rv1435c,1612342,1612950,-,608
Rv1436,1613307,1614326,+,1019
Rv1437,1614329,1615567,+,1238
Rv1438,1615564,1616349,+,785
Rv1439c,1616961,1617386,-,425
Rv1440,1617837,1618070,+,233
Rv1441c,1618209,1619684,-,1475
Rv1442,1619791,1622091,+,2300
Rv1443c,1622207,1622692,-,485
Rv1444c,1623287,1623697,-,410
Rv1445c,1623714,1624457,-,743
Rv1446c,1624454,1625365,-,911
Rv1447c,1625418,1626962,-,1544
Rv1448c,1626959,1628080,-,1121
Rv1449c,1628097,1630199,-,2102
Rv1450c,1630638,1634627,-,3989
Rv1451,1635029,1635955,+,926
Rv1452c,1636004,1638229,-,2225
Rv1453,1638381,1639646,+,1265
Rv1454c,1639674,1640660,-,986
Rv1455,1640680,1641543,+,863
Rv1456c,1641493,1642425,-,932
Rv1457c,1642537,1643322,-,785
Rv1458c,1643319,1644260,-,941
Rv1459c,1644363,1646138,-,1775
Rv1460,1646186,1646992,+,806
Rv1461,1646989,1649529,+,2540
Rv1462,1649526,1650719,+,1193
Rv1463,1650716,1651516,+,800
Rv1464,1651518,1652771,+,1253
Rv1465,1652768,1653256,+,488
Rv1466,1653231,1653578,+,347
Rv1467c,1653673,1655502,-,1829
Rv1468c,1655609,1656721,-,1112
Rv1469,1656963,1658936,+,1973
Rv1470,1658980,1659354,+,374
Rv1471,1659370,1659741,+,371
Rv1472,1659763,1660620,+,857
Rv1473,1660656,1662284,+,1628
Rv1473A,1662381,1662572,+,191
Rv1474c,1662641,1663204,-,563
Rv1475c,1663215,1666046,-,2831
Rv1476,1666204,1666764,+,560
Rv1477,1666990,1668408,+,1418
Rv1478,1668419,1669144,+,725
Rv1479,1669283,1670416,+,1133
Rv1480,1670413,1671366,+,953
Rv1481,1671377,1672384,+,1007
Rv1482c,1672457,1673299,-,842
Rv1483,1673440,1674183,+,743
Rv1484,1674202,1675011,+,809
Rv1485,1675017,1676051,+,1034
Rv1486c,1676017,1676883,-,866
Rv1487,1676941,1677375,+,434
Rv1488,1677397,1678542,+,1145
Rv1489,1678552,1678908,+,356
Rv1489A,1678942,1679172,+,230
Rv1490,1679322,1680629,+,1307
Rv1491c,1681208,1681966,-,758
Rv1492,1682157,1684004,+,1847
Rv1493,1684005,1686257,+,2252
Rv1494,1686271,1686573,+,302
Rv1495,1686570,1686887,+,317
Rv1496,1686884,1687888,+,1004
Rv1497,1687941,1689230,+,1289
Rv1498A,1690134,1690346,-,212
Rv1498c,1689303,1689920,-,617
Rv1499,1690407,1690805,+,398
Rv1500,1690850,1691878,+,1028
Rv1501,1691890,1692711,+,821
Rv1502,1692924,1693823,+,899
Rv1503c,1693996,1694544,-,548
Rv1504c,1694545,1695144,-,599
Rv1505c,1695281,1695946,-,665
Rv1506c,1695943,1696443,-,500
Rv1507A,1697356,1697859,+,503
Rv1507c,1696727,1697422,-,695
Rv1508A,1699866,1700228,+,362
Rv1508c,1698095,1699894,-,1799
Rv1509,1700212,1701093,+,881
Rv1510,1701295,1702593,+,1298
Rv1511,1703074,1704096,+,1022
Rv1512,1704093,1705061,+,968
Rv1513,1705058,1705789,+,731
Rv1514c,1705807,1706595,-,788
Rv1515c,1706630,1707526,-,896
Rv1516c,1707529,1708539,-,1010
Rv1517,1708871,1709635,+,764
Rv1518,1709644,1710603,+,959
Rv1519,1710733,1711002,+,269
Rv1520,1711028,1712068,+,1040
Rv1521,1712302,1714053,+,1751
Rv1522c,1714172,1717612,-,3440
Rv1523,1717653,1718696,+,1043
Rv1524,1718726,1719970,+,1244
Rv1525,1720017,1720802,+,785
Rv1526c,1720780,1722060,-,1280
Rv1527c,1722083,1728409,-,6326
Rv1528c,1728953,1729450,-,497
Rv1529,1729502,1731256,+,1754
Rv1530,1731373,1732476,+,1103
Rv1531,1732473,1733039,+,566
Rv1532c,1733116,1733550,-,434
Rv1533,1733610,1734737,+,1127
Rv1534,1734734,1735411,+,677
Rv1535,1735976,1736212,+,236
Rv1536,1736519,1739644,+,3125
Rv1537,1739841,1741247,+,1406
Rv1538c,1741212,1742192,-,980
Rv1539,1742244,1742852,+,608
Rv1540,1742845,1743771,+,926
Rv1541c,1743778,1744371,-,593
Rv1542c,1744426,1744836,-,410
Rv1543,1745064,1746089,+,1025
Rv1544,1746094,1746897,+,803
Rv1545,1746919,1747146,+,227
Rv1546,1747195,1747626,+,431
Rv1547,1747694,1751248,+,3554
