GENE_ID,Start,End,Strand,Length
Rv0076c,85183,85572,-,389
Rv0077c,85636,86466,-,830
Rv0078,86528,87133,+,605
Rv0078A,87208,87801,-,593
Rv0079,88204,89025,+,821
Rv0080,89022,89480,+,458
Rv0081,89575,89919,+,344
Rv0082,89924,90403,+,479
Rv0083,90400,92322,+,1922
Rv0084,92328,93278,+,950
Rv0085,93289,93951,+,662
Rv0086,93951,95417,+,1466
Rv0087,95414,96892,+,1478
Rv0088,96927,97601,+,674
Rv0089,97758,98351,+,593
Rv0090,98480,99250,+,770
Rv0091,99684,100451,+,767
Rv0092,100583,102868,+,2285
Rv0093c,102815,103663,-,848
Rv0094c,103710,104663,-,953
Rv0095c,104805,105215,-,410
Rv0096,105324,106715,+,1391
Rv0097,106734,107603,+,869
Rv0098,107600,108151,+,551
Rv0099,108156,109778,+,1622
Rv0100,109783,110019,+,236
Rv0101,110001,117539,+,7538
Rv0102,117714,119699,+,1985
Rv0103c,119915,122173,-,2258
Rv0104,122317,123831,+,1514
Rv0105c,123980,124264,-,284
Rv0106,124374,125570,+,1196
Rv0107c,125643,130541,-,4898
Rv0108c,130895,131104,-,209
Rv0109,131382,132872,+,1490
Rv0110,133020,133769,+,749
Rv0111,133950,136007,+,2057
Rv0112,136289,137245,+,956
Rv0113,137319,137909,+,590
Rv0114,137941,138513,+,572
Rv0115,138513,139673,+,1160
Rv0116c,140267,141022,-,755
Rv0117,141200,142144,+,944
Rv0118c,142128,143876,-,1748
Rv0119,144049,145626,+,1577
Rv0120c,145627,147771,-,2144
Rv0121c,147908,148342,-,434
Rv0122,148491,148859,+,368
Rv0123,148856,149224,+,368
Rv0124,149533,150996,+,1463
Rv0125,151148,152215,+,1067
Rv0126,152324,154129,+,1805
Rv0127,154232,155599,+,1367
Rv0128,155667,156446,+,779
Rv0129c,156578,157600,-,1022
Rv0130,157847,158302,+,455
Rv0131c,158315,159658,-,1343
Rv0132c,159700,160782,-,1082
Rv0133,160869,161474,+,605
Rv0134,161771,162673,+,902
Rv0135c,162644,163249,-,605
Rv0136,163366,164691,+,1325
Rv0137c,164712,165260,-,548
Rv0138,165323,165826,+,503
Rv0139,165827,166849,+,1022
Rv0140,166910,167290,+,380
Rv0141c,167271,167681,-,410
Rv0142,167711,168637,+,926
Rv0143c,168704,170182,-,1478
Rv0144,170284,171126,+,842
Rv0145,171215,172168,+,953
Rv0146,172211,173143,+,932
Rv0147,173238,174758,+,1520
Rv0148,174833,175693,+,860
Rv0149,175700,176668,+,968
Rv0150c,176665,176952,-,287
Rv0151c,177543,179309,-,1766
Rv0152c,179319,180896,-,1577
Rv0153c,181155,181985,-,830
Rv0154c,181987,183198,-,1211
Rv0155,183622,184722,+,1100
Rv0156,184723,185055,+,332
Rv0157,185052,186479,+,1427
Rv0157A,186495,186623,-,128
Rv0158,186785,187429,+,644
Rv0159c,187433,188839,-,1406
Rv0160c,188931,190439,-,1508
Rv0161,190607,191956,+,1349
Rv0162c,191984,193135,-,1151
Rv0163,193117,193572,+,455
Rv0164,193626,194111,+,485
Rv0165c,194144,194938,-,794
Rv0166,194993,196657,+,1664
Rv0167,196861,197658,+,797
Rv0168,197660,198529,+,869
Rv0169,198534,199898,+,1364
Rv0170,199895,200935,+,1040
Rv0171,200932,202479,+,1547
Rv0172,202476,204068,+,1592
Rv0173,204065,205237,+,1172
Rv0174,205231,206778,+,1547
Rv0175,206814,207455,+,641
Rv0176,207452,208420,+,968
Rv0177,208417,208971,+,554
Rv0178,208938,209672,+,734
Rv0179c,209703,210812,-,1109
Rv0180c,210892,212250,-,1358
Rv0181c,212277,213011,-,734
Rv0182c,213028,214140,-,1112
Rv0183,214088,214927,+,839
Rv0184,214969,215718,+,749
Rv0185,215715,216224,+,509
Rv0186,216269,218344,+,2075
Rv0187,218705,219367,+,662
Rv0188,219486,219917,+,431
Rv0189c,219996,221723,-,1727
Rv0190,221871,222161,+,290
Rv0191,222289,223530,+,1241
Rv0192,223564,224664,+,1100
Rv0192A,223607,223909,+,302
Rv0193c,224724,226571,-,1847
Rv0194,226878,230462,+,3584
Rv0195,230899,231534,+,635
Rv0196,231647,232231,+,584
Rv0197,232231,234519,+,2288
Rv0198c,234516,236507,-,1991
Rv0199,236550,237209,+,659
Rv0200,237206,237895,+,689
Rv0201c,237892,238395,-,503
Rv0202c,238392,241292,-,2900
Rv0203,241514,241924,+,410
Rv0204c,241976,243214,-,1238
Rv0205,243384,244487,+,1103
Rv0206c,244484,247318,-,2834
Rv0207c,247384,248112,-,728
